user_id,timestamp,action_type,stock_code
u00484,2026-04-15 10:20:37,view,000026
u00074,2026-04-15 10:05:17,click,600002
u00030,2026-04-15 13:55:16,view,600011
u00123,2026-04-15 09:47:23,view,680029
u00443,2026-04-15 13:36:58,click,600069
u00227,2026-04-15 10:05:54,view,600057
u00024,2026-04-15 13:37:22,view,300012
u00242,2026-04-15 14:42:25,trade,600007
u00126,2026-04-15 09:52:48,view,600031
u00005,2026-04-15 13:14:42,view,000043
u00024,2026-04-15 14:06:25,view,300000
u00477,2026-04-15 10:19:48,click,680029
u00437,2026-04-15 14:02:48,view,600099
u00492,2026-04-15 10:01:10,view,600024
u00301,2026-04-15 09:34:16,click,600084
u00479,2026-04-15 11:25:58,view,600019
u00485,2026-04-15 14:54:03,click,300020
u00196,2026-04-15 11:16:12,view,000000
u00217,2026-04-15 11:12:12,click,600006
u00489,2026-04-15 09:35:41,view,600002
u00182,2026-04-15 13:53:34,view,600052
u00478,2026-04-15 11:24:23,view,600083
u00242,2026-04-15 10:30:09,view,600024
u00486,2026-04-15 10:12:59,click,300006
u00296,2026-04-15 13:11:42,click,600010
u00040,2026-04-15 14:32:33,view,300029
u00505,2026-04-15 09:39:10,click,600021
u00143,2026-04-15 13:08:12,click,600074
u00175,2026-04-15 10:53:04,click,600086
u00372,2026-04-15 11:07:08,view,600006
u00495,2026-04-15 09:44:35,view,600012
u00227,2026-04-15 14:35:46,view,300022
u00028,2026-04-15 13:54:03,click,600032
u00351,2026-04-15 11:09:49,view,300017
u00035,2026-04-15 09:43:15,view,680018
u00321,2026-04-15 10:28:34,click,300047
u00047,2026-04-15 14:12:20,click,000005
u00193,2026-04-15 14:13:23,view,300045
u00301,2026-04-15 14:54:46,view,600021
u00185,2026-04-15 13:38:18,view,000027
u00444,2026-04-15 11:09:51,view,300025
u00199,2026-04-15 10:12:27,view,300049
u00182,2026-04-15 14:17:01,view,300027
u00068,2026-04-15 14:01:20,view,300045
u00393,2026-04-15 14:49:24,view,000019
u00042,2026-04-15 13:28:52,click,000049
u00287,2026-04-15 09:53:18,view,000013
u00368,2026-04-15 09:53:21,follow,600003
u00057,2026-04-15 14:28:36,view,600025
u00195,2026-04-15 14:57:13,view,000025
u00221,2026-04-15 13:42:34,view,000029
u00178,2026-04-15 14:06:40,follow,600084
u00492,2026-04-15 09:37:10,view,600000
u00162,2026-04-15 13:52:29,view,300041
u00445,2026-04-15 13:28:52,follow,000030
u00044,2026-04-15 13:14:00,view,600071
u00458,2026-04-15 09:57:10,view,680001
u00237,2026-04-15 13:50:17,view,300006
u00234,2026-04-15 13:27:31,view,000023
u00496,2026-04-15 09:41:03,view,600013
u00097,2026-04-15 09:49:51,view,600025
u00211,2026-04-15 13:15:44,click,000030
u00327,2026-04-15 13:31:03,click,600034
u00249,2026-04-15 14:53:54,trade,680001
u00487,2026-04-15 10:48:11,click,680007
u00481,2026-04-15 11:21:12,view,000005
u00410,2026-04-15 13:36:06,view,300002
u00215,2026-04-15 10:09:36,view,600095
u00484,2026-04-15 14:20:44,click,000045
u00153,2026-04-15 13:04:54,view,680028
u00084,2026-04-15 10:14:07,view,300049
u00485,2026-04-15 11:22:45,click,000014
u00494,2026-04-15 09:39:36,view,600008
u00280,2026-04-15 14:38:37,view,600090
u00497,2026-04-15 09:56:16,view,600022
u00206,2026-04-15 11:01:49,click,000010
u00307,2026-04-15 14:54:27,view,300029
u00066,2026-04-15 10:53:39,view,600016
u00479,2026-04-15 10:41:34,view,000028
u00494,2026-04-15 09:48:36,view,600020
u00064,2026-04-15 11:20:46,view,600049
u00106,2026-04-15 14:40:54,view,300047
u00197,2026-04-15 10:46:52,view,600086
u00035,2026-04-15 14:11:39,view,000032
u00071,2026-04-15 10:01:23,view,000024
u00221,2026-04-15 14:59:38,click,300029
u00479,2026-04-15 13:48:01,view,600036
u00432,2026-04-15 13:56:54,view,600065
u00412,2026-04-15 14:06:44,view,300047
u00067,2026-04-15 14:36:52,view,680002
u00008,2026-04-15 14:57:57,view,300048
u00173,2026-04-15 09:41:54,view,600093
u00321,2026-04-15 09:39:32,view,000003
u00494,2026-04-15 09:38:51,view,600007
u00411,2026-04-15 13:44:50,view,600018
u00217,2026-04-15 11:26:31,view,680013
u00288,2026-04-15 14:38:44,view,600064
u00393,2026-04-15 11:16:58,view,600002
u00419,2026-04-15 10:14:44,click,300006
u00029,2026-04-15 09:54:28,click,600096
u00402,2026-04-15 13:12:53,view,600007
u00108,2026-04-15 10:28:29,view,680001
u00332,2026-04-15 09:57:26,view,600026
u00478,2026-04-15 09:40:47,click,000021
u00445,2026-04-15 13:58:29,view,600029
u00033,2026-04-15 10:48:31,view,600089
u00312,2026-04-15 10:54:41,view,300017
u00014,2026-04-15 10:46:53,click,600011
u00211,2026-04-15 14:43:24,view,000030
u00160,2026-04-15 10:54:05,follow,600026
u00056,2026-04-15 14:34:54,view,300045
u00359,2026-04-15 14:48:29,follow,000033
u00069,2026-04-15 10:47:11,view,300020
u00431,2026-04-15 13:49:32,click,600078
u00046,2026-04-15 14:56:09,view,600028
u00312,2026-04-15 10:05:21,view,000002
u00026,2026-04-15 10:40:18,view,000022
u00159,2026-04-15 11:08:28,view,600076
u00274,2026-04-15 10:47:56,view,600027
u00443,2026-04-15 10:02:13,click,600087
u00480,2026-04-15 10:24:32,view,600078
u00267,2026-04-15 11:12:14,view,680000
u00265,2026-04-15 14:27:01,view,680018
u00019,2026-04-15 13:02:56,view,600048
u00473,2026-04-15 09:36:30,follow,000045
u00202,2026-04-15 14:10:11,click,000024
u00324,2026-04-15 14:59:52,view,300030
u00358,2026-04-15 13:04:14,follow,600025
u00243,2026-04-15 14:59:20,view,300012
u00383,2026-04-15 14:56:49,view,600097
u00488,2026-04-15 14:27:38,view,000027
u00351,2026-04-15 14:28:06,click,600064
u00177,2026-04-15 10:03:54,follow,600001
u00263,2026-04-15 13:19:57,trade,600038
u00478,2026-04-15 10:15:29,view,000026
u00484,2026-04-15 11:19:44,click,600030
u00167,2026-04-15 10:50:49,click,680016
u00486,2026-04-15 10:20:38,view,600096
u00462,2026-04-15 14:58:30,view,300029
u00418,2026-04-15 10:19:42,click,600085
u00484,2026-04-15 10:35:39,view,000047
u00041,2026-04-15 13:12:07,view,600093
u00348,2026-04-15 09:47:40,view,000025
u00488,2026-04-15 13:37:05,view,300047
u00120,2026-04-15 14:15:07,click,680023
u00277,2026-04-15 11:26:52,view,000045
u00488,2026-04-15 10:15:38,view,600038
u00079,2026-04-15 11:03:48,view,600069
u00492,2026-04-15 10:11:10,view,600034
u00498,2026-04-15 09:55:09,view,600022
u00227,2026-04-15 10:14:38,view,680017
u00373,2026-04-15 10:35:57,view,000025
u00414,2026-04-15 14:45:19,view,300041
u00426,2026-04-15 13:04:47,follow,680016
u00352,2026-04-15 14:27:18,click,600097
u00486,2026-04-15 10:09:43,view,000018
u00506,2026-04-15 09:37:06,follow,600026
u00107,2026-04-15 10:14:44,view,300020
u00453,2026-04-15 10:34:45,view,600032
u00090,2026-04-15 14:37:51,view,680008
u00491,2026-04-15 10:15:24,view,600037
u00363,2026-04-15 09:41:12,view,600087
u00052,2026-04-15 10:29:46,view,600001
u00330,2026-04-15 14:21:41,view,600080
u00502,2026-04-15 09:38:29,view,600008
u00426,2026-04-15 11:01:36,click,000016
u00011,2026-04-15 13:35:09,follow,600043
u00172,2026-04-15 09:45:42,view,000036
u00396,2026-04-15 11:14:26,click,300045
u00364,2026-04-15 10:38:40,view,600096
u00180,2026-04-15 13:23:47,view,680028
u00002,2026-04-15 10:27:37,view,680023
u00371,2026-04-15 10:46:17,view,000001
u00318,2026-04-15 10:29:09,view,680020
u00398,2026-04-15 11:30:15,view,000030
u00218,2026-04-15 11:25:58,view,680026
u00463,2026-04-15 14:46:40,view,300015
u00070,2026-04-15 11:28:52,view,600027
u00497,2026-04-15 09:54:01,view,600019
u00191,2026-04-15 10:47:04,view,000015
u00483,2026-04-15 10:45:40,view,300015
u00460,2026-04-15 14:47:07,view,000025
u00400,2026-04-15 10:53:19,view,000031
u00095,2026-04-15 13:40:23,follow,600082
u00217,2026-04-15 11:09:57,click,600087
u00422,2026-04-15 10:08:45,click,000028
u00381,2026-04-15 10:12:26,view,680028
u00046,2026-04-15 09:34:12,view,300010
u00348,2026-04-15 09:38:45,view,000025
u00149,2026-04-15 13:39:34,click,680004
u00230,2026-04-15 10:19:45,view,600092
u00495,2026-04-15 09:46:35,view,600014
u00481,2026-04-15 11:12:56,view,600045
u00490,2026-04-15 10:05:04,view,600045
u00180,2026-04-15 14:09:14,click,600000
u00131,2026-04-15 10:38:19,view,300049
u00064,2026-04-15 13:10:19,view,680027
u00367,2026-04-15 14:53:04,view,000032
u00504,2026-04-15 09:39:41,trade,600009
u00137,2026-04-15 10:46:28,click,300024
u00493,2026-04-15 09:41:43,view,600004
u00159,2026-04-15 10:38:56,view,600092
u00155,2026-04-15 09:31:49,view,600090
u00335,2026-04-15 10:45:56,view,300048
u00370,2026-04-15 11:09:06,view,680015
u00134,2026-04-15 11:29:38,view,000030
u00085,2026-04-15 14:56:57,view,600017
u00366,2026-04-15 13:16:18,view,300035
u00345,2026-04-15 09:33:13,click,000011
u00061,2026-04-15 10:21:17,follow,600077
u00115,2026-04-15 13:28:31,click,300016
u00140,2026-04-15 10:55:03,view,600059
u00339,2026-04-15 10:36:48,view,600002
u00434,2026-04-15 09:36:24,view,000022
u00421,2026-04-15 11:14:02,view,600043
u00477,2026-04-15 10:15:41,view,680006
u00088,2026-04-15 13:14:38,view,600095
u00167,2026-04-15 13:12:46,view,680014
u00090,2026-04-15 14:11:42,view,680001
u00466,2026-04-15 10:59:32,view,000032
u00480,2026-04-15 11:21:52,click,680000
u00463,2026-04-15 14:26:57,view,000014
u00013,2026-04-15 09:44:15,view,600004
u00091,2026-04-15 10:19:39,view,000041
u00226,2026-04-15 11:06:24,click,600038
u00506,2026-04-15 09:33:17,click,600005
u00332,2026-04-15 10:53:34,click,300014
u00471,2026-04-15 14:24:37,view,600025
u00266,2026-04-15 11:01:06,view,600051
u00337,2026-04-15 11:21:24,click,600069
u00368,2026-04-15 14:21:52,view,300045
u00486,2026-04-15 14:30:53,view,000013
u00095,2026-04-15 14:43:02,follow,300038
u00237,2026-04-15 14:25:23,follow,000049
u00118,2026-04-15 14:52:07,view,680001
u00404,2026-04-15 09:32:57,view,000019
u00480,2026-04-15 10:38:45,click,600067
u00336,2026-04-15 14:57:10,click,000032
u00098,2026-04-15 13:52:08,view,600077
u00067,2026-04-15 10:41:02,view,600080
u00429,2026-04-15 10:32:42,click,300007
u00003,2026-04-15 10:54:22,view,000038
u00222,2026-04-15 10:19:42,view,600077
u00245,2026-04-15 10:25:35,view,000024
u00467,2026-04-15 10:26:08,view,600028
u00312,2026-04-15 13:28:21,click,600004
u00403,2026-04-15 10:51:44,click,000038
u00273,2026-04-15 10:45:32,view,600049
u00367,2026-04-15 11:27:57,view,600068
u00210,2026-04-15 13:50:38,view,600078
u00374,2026-04-15 14:34:00,click,680015
u00096,2026-04-15 11:01:31,view,300015
u00048,2026-04-15 09:34:15,click,680005
u00337,2026-04-15 09:44:41,click,680021
u00269,2026-04-15 10:13:37,follow,600033
u00461,2026-04-15 14:22:59,view,300000
u00277,2026-04-15 10:48:05,view,300016
u00264,2026-04-15 14:16:00,view,000011
u00492,2026-04-15 09:53:10,view,600016
u00343,2026-04-15 13:48:02,view,600007
u00115,2026-04-15 13:55:22,click,000025
u00473,2026-04-15 09:33:49,click,600079
u00373,2026-04-15 10:24:27,view,000025
u00486,2026-04-15 09:44:00,click,600051
u00052,2026-04-15 10:38:48,view,300026
u00060,2026-04-15 14:31:57,click,300032
u00486,2026-04-15 11:01:34,click,600074
u00212,2026-04-15 14:46:29,view,680004
u00271,2026-04-15 09:31:47,view,680009
u00210,2026-04-15 10:13:42,view,000037
u00091,2026-04-15 10:12:46,follow,300033
u00413,2026-04-15 11:21:29,view,600008
u00143,2026-04-15 14:05:28,view,000001
u00140,2026-04-15 10:54:30,view,600015
u00478,2026-04-15 14:18:47,click,600050
u00349,2026-04-15 14:44:11,view,000016
u00206,2026-04-15 10:09:01,view,000043
u00477,2026-04-15 13:37:18,view,600055
u00101,2026-04-15 10:06:39,view,000010
u00480,2026-04-15 10:39:48,click,680004
u00463,2026-04-15 14:00:42,follow,300042
u00066,2026-04-15 11:06:23,click,000049
u00254,2026-04-15 13:11:34,trade,000027
u00190,2026-04-15 14:04:07,view,300014
u00418,2026-04-15 09:57:31,click,000003
u00215,2026-04-15 13:48:44,view,600085
u00209,2026-04-15 14:17:55,view,600014
u00107,2026-04-15 14:54:26,click,600070
u00087,2026-04-15 14:14:30,view,600069
u00269,2026-04-15 11:23:49,view,680018
u00044,2026-04-15 11:08:41,view,680011
u00274,2026-04-15 14:24:12,click,600005
u00485,2026-04-15 13:29:12,view,300048
u00262,2026-04-15 09:47:17,view,680003
u00468,2026-04-15 09:52:11,view,680012
u00051,2026-04-15 09:44:22,view,000009
u00281,2026-04-15 09:54:54,view,300022
u00145,2026-04-15 10:55:58,view,680004
u00158,2026-04-15 14:45:56,click,600012
u00479,2026-04-15 11:29:59,view,600074
u00167,2026-04-15 13:36:28,view,300019
u00493,2026-04-15 10:15:28,view,600049
u00113,2026-04-15 11:16:06,view,600020
u00287,2026-04-15 14:58:51,view,000013
u00413,2026-04-15 10:53:48,click,600034
u00437,2026-04-15 10:01:04,view,680017
u00012,2026-04-15 13:05:27,trade,680021
u00172,2026-04-15 14:04:47,view,300012
u00034,2026-04-15 09:58:47,view,680002
u00284,2026-04-15 10:42:05,click,600052
u00446,2026-04-15 14:05:40,click,600070
u00164,2026-04-15 13:35:46,view,300044
u00036,2026-04-15 09:42:51,view,600029
u00498,2026-04-15 10:08:39,view,600040
u00151,2026-04-15 09:43:54,view,600085
u00480,2026-04-15 13:24:04,view,680010
u00268,2026-04-15 14:36:54,view,300046
u00316,2026-04-15 14:47:32,trade,600069
u00128,2026-04-15 09:51:54,view,300014
u00316,2026-04-15 14:56:21,view,600077
u00437,2026-04-15 13:38:02,view,600027
u00470,2026-04-15 13:42:05,click,300042
u00340,2026-04-15 13:21:59,view,600021
u00304,2026-04-15 13:13:07,click,300030
u00477,2026-04-15 09:51:35,click,300008
u00148,2026-04-15 10:43:38,follow,600047
u00023,2026-04-15 11:06:49,view,680011
u00079,2026-04-15 13:54:01,follow,600069
u00058,2026-04-15 09:44:03,view,680013
u00006,2026-04-15 10:11:51,click,000001
u00186,2026-04-15 11:30:09,view,600067
u00289,2026-04-15 13:52:32,view,600082
u00346,2026-04-15 09:36:24,view,600043
u00054,2026-04-15 13:38:11,view,000031
u00101,2026-04-15 14:32:04,click,600053
u00354,2026-04-15 14:26:30,view,300003
u00452,2026-04-15 13:28:43,view,600001
u00115,2026-04-15 09:56:10,view,300034
u00022,2026-04-15 14:08:42,view,600028
u00481,2026-04-15 14:46:33,view,300026
u00200,2026-04-15 10:12:17,view,680027
u00455,2026-04-15 14:39:30,click,600025
u00245,2026-04-15 14:21:34,view,680019
u00371,2026-04-15 09:40:36,view,600070
u00245,2026-04-15 10:15:57,click,600035
u00221,2026-04-15 13:59:18,view,680006
u00448,2026-04-15 11:03:24,follow,300019
u00492,2026-04-15 09:52:10,view,600015
u00081,2026-04-15 10:11:58,view,600067
u00356,2026-04-15 11:04:02,view,300016
u00430,2026-04-15 09:43:35,view,600097
u00433,2026-04-15 13:24:05,click,600004
u00001,2026-04-15 10:05:51,click,600070
u00167,2026-04-15 14:35:36,view,680023
u00136,2026-04-15 11:25:28,click,680021
u00384,2026-04-15 10:37:06,view,000001
u00289,2026-04-15 10:37:30,view,600079
u00493,2026-04-15 10:04:13,view,600034
u00375,2026-04-15 09:53:32,view,600069
u00279,2026-04-15 14:11:53,view,680024
u00204,2026-04-15 13:11:50,view,600050
u00490,2026-04-15 09:56:04,view,600033
u00082,2026-04-15 09:42:54,view,600049
u00261,2026-04-15 09:36:06,view,600031
u00052,2026-04-15 10:37:36,view,600001
u00431,2026-04-15 10:47:55,click,000043
u00483,2026-04-15 09:59:39,view,600089
u00141,2026-04-15 14:50:49,view,680027
u00320,2026-04-15 11:04:43,view,300027
u00336,2026-04-15 10:25:59,view,600012
u00441,2026-04-15 10:49:45,view,600072
u00496,2026-04-15 09:50:03,view,600025
u00079,2026-04-15 14:19:20,view,000032
u00484,2026-04-15 13:07:23,view,680020
u00425,2026-04-15 10:57:55,trade,000045
u00479,2026-04-15 13:21:51,click,000010
u00085,2026-04-15 14:54:47,view,600017
u00171,2026-04-15 13:46:39,view,600074
u00297,2026-04-15 11:16:38,view,600079
u00076,2026-04-15 09:57:11,view,600092
u00387,2026-04-15 14:47:26,follow,600088
u00314,2026-04-15 11:09:33,view,600082
u00267,2026-04-15 10:43:06,view,600077
u00176,2026-04-15 11:17:48,view,600035
u00334,2026-04-15 10:00:18,view,300043
u00078,2026-04-15 10:54:52,view,300017
u00097,2026-04-15 14:48:38,click,600047
u00492,2026-04-15 10:16:10,view,600039
u00252,2026-04-15 14:44:18,view,000041
u00207,2026-04-15 13:03:48,view,680021
u00370,2026-04-15 13:27:39,click,300039
u00298,2026-04-15 11:03:11,view,680011
u00159,2026-04-15 10:04:48,view,600048
u00394,2026-04-15 11:02:46,view,300002
u00074,2026-04-15 13:39:47,view,600032
u00486,2026-04-15 10:05:46,click,600076
u00187,2026-04-15 10:12:16,click,600072
u00114,2026-04-15 14:29:36,view,000019
u00502,2026-04-15 09:36:29,click,600019
u00007,2026-04-15 11:05:45,click,600038
u00043,2026-04-15 13:02:06,view,300002
u00484,2026-04-15 10:57:44,view,000010
u00484,2026-04-15 14:20:10,view,600019
u00224,2026-04-15 10:03:50,view,600091
u00490,2026-04-15 09:51:34,view,600027
u00037,2026-04-15 13:34:29,view,300048
u00481,2026-04-15 10:03:39,view,680003
u00480,2026-04-15 13:16:18,view,600038
u00038,2026-04-15 10:18:26,view,600086
u00504,2026-04-15 09:32:54,click,600011
u00116,2026-04-15 13:48:26,click,000010
u00465,2026-04-15 10:26:14,click,600087
u00494,2026-04-15 09:54:36,view,600028
u00111,2026-04-15 13:14:18,follow,000019
u00136,2026-04-15 10:07:26,click,680028
u00440,2026-04-15 10:36:36,view,300045
u00469,2026-04-15 14:18:29,view,600099
u00096,2026-04-15 11:15:31,click,600070
u00439,2026-04-15 10:57:39,view,600015
u00081,2026-04-15 13:49:52,click,300034
u00415,2026-04-15 09:53:18,view,300038
u00490,2026-04-15 09:57:34,view,600035
u00332,2026-04-15 14:06:06,view,300014
u00475,2026-04-15 09:41:20,view,000000
u00484,2026-04-15 11:23:26,view,300014
u00247,2026-04-15 13:20:11,view,600008
u00100,2026-04-15 09:57:56,view,600025
u00474,2026-04-15 14:42:48,view,000032
u00203,2026-04-15 10:05:35,click,300005
u00184,2026-04-15 09:45:07,view,000034
u00350,2026-04-15 10:57:09,view,000014
u00110,2026-04-15 11:29:02,follow,000016
u00350,2026-04-15 14:49:32,click,600073
u00087,2026-04-15 11:07:46,view,000044
u00227,2026-04-15 14:50:25,view,600093
u00346,2026-04-15 13:53:21,view,000046
u00082,2026-04-15 09:31:24,view,600049
u00090,2026-04-15 13:33:03,view,300035
u00484,2026-04-15 13:47:27,view,600082
u00026,2026-04-15 13:47:34,view,600034
u00008,2026-04-15 10:36:33,follow,000004
u00420,2026-04-15 14:05:38,view,600042
u00237,2026-04-15 13:18:38,follow,000049
u00483,2026-04-15 13:19:33,view,600020
u00261,2026-04-15 14:26:04,click,300029
u00498,2026-04-15 09:53:39,view,600020
u00368,2026-04-15 11:17:02,view,600064
u00483,2026-04-15 13:44:55,view,600024
u00131,2026-04-15 13:14:07,click,600085
u00441,2026-04-15 13:06:57,follow,600065
u00477,2026-04-15 13:05:38,click,680023
u00095,2026-04-15 13:20:13,view,300007
u00454,2026-04-15 13:23:41,view,600072
u00069,2026-04-15 09:52:46,view,600095
u00262,2026-04-15 11:07:11,view,600035
u00074,2026-04-15 13:21:22,view,600002
u00244,2026-04-15 11:26:29,view,300025
u00481,2026-04-15 11:17:50,click,300008
u00477,2026-04-15 13:05:22,click,000032
u00496,2026-04-15 09:56:03,view,600033
u00052,2026-04-15 10:50:40,view,000039
u00471,2026-04-15 14:03:44,view,680024
u00445,2026-04-15 14:00:47,click,300034
u00352,2026-04-15 13:33:48,click,000010
u00011,2026-04-15 10:15:37,view,600046
u00130,2026-04-15 14:28:04,view,000007
u00310,2026-04-15 13:52:09,view,600059
u00470,2026-04-15 11:01:53,view,680001
u00482,2026-04-15 11:01:49,view,600086
u00220,2026-04-15 14:40:50,click,600007
u00415,2026-04-15 11:17:33,view,680003
u00162,2026-04-15 09:33:15,view,680022
u00335,2026-04-15 10:17:45,view,300038
u00111,2026-04-15 14:44:42,view,600081
u00100,2026-04-15 10:24:19,view,000005
u00300,2026-04-15 11:16:31,trade,600040
u00125,2026-04-15 14:30:15,follow,300049
u00169,2026-04-15 11:17:16,view,680019
u00449,2026-04-15 13:26:53,view,600016
u00394,2026-04-15 09:38:01,click,300048
u00499,2026-04-15 13:21:07,view,000049
u00233,2026-04-15 11:26:22,view,300003
u00386,2026-04-15 11:17:49,click,600091
u00228,2026-04-15 11:29:22,view,000007
u00357,2026-04-15 09:47:24,view,600042
u00198,2026-04-15 10:34:56,view,600008
u00051,2026-04-15 11:27:19,view,600072
u00506,2026-04-15 09:33:24,follow,600007
u00142,2026-04-15 09:36:07,view,600006
u00048,2026-04-15 13:18:31,follow,600065
u00138,2026-04-15 10:03:41,follow,600020
u00374,2026-04-15 13:11:07,view,680012
u00104,2026-04-15 10:57:55,click,600043
u00485,2026-04-15 14:38:33,click,600041
u00029,2026-04-15 14:33:42,view,680018
u00166,2026-04-15 10:03:54,view,000022
u00432,2026-04-15 10:41:50,view,000006
u00225,2026-04-15 13:21:07,view,000046
u00460,2026-04-15 10:39:32,click,600082
u00462,2026-04-15 14:19:40,click,300002
u00488,2026-04-15 11:26:42,click,300040
u00206,2026-04-15 10:18:40,view,300005
u00092,2026-04-15 09:51:59,view,600042
u00403,2026-04-15 10:37:28,click,680005
u00314,2026-04-15 13:00:54,view,000042
u00384,2026-04-15 14:32:59,view,600080
u00495,2026-04-15 10:09:35,view,600037
u00037,2026-04-15 11:14:43,view,600067
u00132,2026-04-15 11:18:26,click,300049
u00484,2026-04-15 14:52:00,view,600040
u00021,2026-04-15 13:07:37,click,600051
u00176,2026-04-15 14:21:00,view,000039
u00490,2026-04-15 09:50:49,view,600026
u00275,2026-04-15 13:56:17,click,300004
u00176,2026-04-15 10:40:06,follow,600083
u00081,2026-04-15 13:14:38,follow,300034
u00234,2026-04-15 10:20:10,view,300021
u00047,2026-04-15 10:54:03,view,600060
u00235,2026-04-15 13:11:30,view,600055
u00505,2026-04-15 09:38:41,follow,600000
u00189,2026-04-15 14:35:41,follow,300033
u00484,2026-04-15 10:28:47,view,000020
u00427,2026-04-15 09:49:46,view,300032
u00073,2026-04-15 10:24:00,view,680020
u00156,2026-04-15 10:37:23,view,680003
u00410,2026-04-15 10:21:30,view,300049
u00125,2026-04-15 15:00:32,click,600048
u00470,2026-04-15 11:14:54,view,680001
u00479,2026-04-15 14:01:44,view,300036
u00129,2026-04-15 14:17:51,view,600063
u00196,2026-04-15 10:19:05,view,680001
u00269,2026-04-15 09:49:43,click,300010
u00376,2026-04-15 11:01:58,view,600093
u00296,2026-04-15 10:24:39,follow,600077
u00417,2026-04-15 10:50:42,click,600081
u00109,2026-04-15 10:05:16,view,680011
u00195,2026-04-15 13:31:17,view,600046
u00272,2026-04-15 10:06:36,view,600047
u00385,2026-04-15 13:36:22,view,600059
u00264,2026-04-15 09:45:36,view,000021
u00344,2026-04-15 10:29:11,view,680017
u00451,2026-04-15 10:12:10,view,680008
u00269,2026-04-15 11:13:21,view,600035
u00341,2026-04-15 14:25:32,view,600019
u00022,2026-04-15 14:54:50,view,600024
u00018,2026-04-15 13:51:46,follow,300014
u00417,2026-04-15 13:51:40,view,300043
u00479,2026-04-15 13:19:46,view,600038
u00030,2026-04-15 10:57:23,click,600011
u00320,2026-04-15 14:55:53,view,000008
u00392,2026-04-15 13:31:23,view,000024
u00451,2026-04-15 11:10:23,view,000002
u00230,2026-04-15 10:11:44,click,600092
u00062,2026-04-15 10:09:19,click,000033
u00314,2026-04-15 11:05:49,view,000042
u00301,2026-04-15 11:22:47,view,600089
u00238,2026-04-15 14:59:10,view,680002
u00167,2026-04-15 14:10:28,click,680014
u00321,2026-04-15 10:53:31,view,600082
u00212,2026-04-15 09:59:44,view,000044
u00139,2026-04-15 13:13:14,view,000006
u00426,2026-04-15 09:48:47,view,000016
u00143,2026-04-15 13:59:05,click,300013
u00475,2026-04-15 10:53:14,click,600058
u00029,2026-04-15 14:18:57,click,300031
u00128,2026-04-15 13:12:12,view,600023
u00361,2026-04-15 10:06:29,view,300041
u00062,2026-04-15 10:24:38,view,680013
u00407,2026-04-15 13:37:11,view,300038
u00284,2026-04-15 10:17:21,view,300027
u00484,2026-04-15 10:28:52,follow,000024
u00172,2026-04-15 14:59:41,view,600048
u00004,2026-04-15 13:48:51,view,000041
u00402,2026-04-15 10:39:25,trade,000049
u00448,2026-04-15 11:27:42,view,300002
u00170,2026-04-15 13:42:29,view,300002
u00479,2026-04-15 10:49:25,view,300007
u00022,2026-04-15 13:20:03,view,000017
u00209,2026-04-15 10:24:33,view,600014
u00043,2026-04-15 14:57:41,view,000045
u00111,2026-04-15 13:32:01,view,300041
u00001,2026-04-15 14:13:17,click,600035
u00290,2026-04-15 10:28:32,view,600067
u00497,2026-04-15 09:39:46,view,600000
u00266,2026-04-15 13:52:50,view,600049
